      Lon      Lat    Year    VegC LitterC   SoilC     Total
   -72.25    42.25    1901   5.653   5.508  13.798    24.959
   -72.25    42.25    1902   5.774   5.392  13.784    24.951
   -72.25    42.25    1903   5.413   5.595  13.784    24.793
   -72.25    42.25    1904   5.535   5.513  13.785    24.833
   -72.25    42.25    1905   5.581   5.476  13.796    24.853
   -72.25    42.25    1906   5.405   5.647  13.775    24.827
   -72.25    42.25    1907   5.266   5.739  13.785    24.790
   -72.25    42.25    1908   5.348   5.642  13.789    24.779
   -72.25    42.25    1909   5.405   5.636  13.801    24.843
   -72.25    42.25    1910   5.469   5.582  13.815    24.866
   -72.25    42.25    1911   5.515   5.506  13.824    24.846
   -72.25    42.25    1912   5.654   5.422  13.833    24.909
   -72.25    42.25    1913   5.640   5.444  13.829    24.913
   -72.25    42.25    1914   5.446   5.613  13.838    24.897
   -72.25    42.25    1915   5.716   5.410  13.814    24.940
   -72.25    42.25    1916   5.937   5.351  13.787    25.075
   -72.25    42.25    1917   6.044   5.318  13.784    25.146
   -72.25    42.25    1918   6.194   5.231  13.793    25.217
   -72.25    42.25    1919   6.342   5.160  13.788    25.290
   -72.25    42.25    1920   6.430   5.126  13.786    25.342
   -72.25    42.25    1921   6.164   5.450  13.763    25.377
   -72.25    42.25    1922   6.314   5.432  13.743    25.489
   -72.25    42.25    1923   6.243   5.554  13.761    25.558
   -72.25    42.25    1924   6.186   5.524  13.781    25.492
   -72.25    42.25    1925   6.425   5.379  13.773    25.576
   -72.25    42.25    1926   6.407   5.414  13.788    25.609
   -72.25    42.25    1927   6.664   5.272  13.774    25.710
   -72.25    42.25    1928   6.476   5.567  13.720    25.763
   -72.25    42.25    1929   6.400   5.612  13.742    25.754
   -72.25    42.25    1930   6.099   5.490  13.749    25.339
   -72.25    42.25    1931   6.256   5.432  13.733    25.420
   -72.25    42.25    1932   6.230   5.523  13.727    25.480
   -72.25    42.25    1933   6.329   5.407  13.718    25.455
   -72.25    42.25    1934   6.194   5.339  13.701    25.234
   -72.25    42.25    1935   6.218   5.352  13.701    25.271
   -72.25    42.25    1936   6.356   5.254  13.696    25.307
   -72.25    42.25    1937   6.540   5.166  13.663    25.369
   -72.25    42.25    1938   6.850   5.042  13.625    25.517
   -72.25    42.25    1939   6.900   5.051  13.631    25.582
   -72.25    42.25    1940   6.775   5.055  13.653    25.483
   -72.25    42.25    1941   6.730   4.954  13.651    25.335
   -72.25    42.25    1942   6.944   4.877  13.635    25.456
   -72.25    42.25    1943   6.573   4.894  13.636    25.103
   -72.25    42.25    1944   6.026   5.129  13.624    24.779
   -72.25    42.25    1945   6.313   5.001  13.588    24.903
   -72.25    42.25    1946   6.626   4.935  13.567    25.127
   -72.25    42.25    1947   6.306   5.277  13.566    25.150
   -72.25    42.25    1948   5.998   5.200  13.572    24.770
   -72.25    42.25    1949   5.993   5.117  13.578    24.688
   -72.25    42.25    1950   6.004   5.202  13.589    24.795
   -72.25    42.25    1951   5.792   5.232  13.598    24.622
   -72.25    42.25    1952   5.972   5.077  13.566    24.616
   -72.25    42.25    1953   6.012   5.022  13.552    24.585
   -72.25    42.25    1954   5.871   5.340  13.537    24.747
   -72.25    42.25    1955   5.666   5.571  13.520    24.757
   -72.25    42.25    1956   5.772   5.472  13.535    24.779
   -72.25    42.25    1957   5.787   5.406  13.550    24.742
   -72.25    42.25    1958   6.058   5.278  13.531    24.868
   -72.25    42.25    1959   6.153   5.205  13.494    24.853
