      Lon      Lat    Year    VegC LitterC   SoilC     Total
   -72.25    42.25    1901   6.068   6.610  14.919    27.597
   -72.25    42.25    1902   5.975   6.556  14.919    27.450
   -72.25    42.25    1903   6.011   6.553  14.931    27.494
   -72.25    42.25    1904   5.984   6.628  14.937    27.549
   -72.25    42.25    1905   5.867   6.713  14.957    27.537
   -72.25    42.25    1906   6.024   6.520  14.941    27.485
   -72.25    42.25    1907   6.022   6.510  14.951    27.483
   -72.25    42.25    1908   6.099   6.446  14.955    27.500
   -72.25    42.25    1909   6.207   6.392  14.972    27.571
   -72.25    42.25    1910   6.278   6.315  14.988    27.581
   -72.25    42.25    1911   6.161   6.412  14.997    27.570
   -72.25    42.25    1912   6.174   6.328  15.011    27.513
   -72.25    42.25    1913   6.244   6.232  15.006    27.483
   -72.25    42.25    1914   6.310   6.193  15.008    27.511
   -72.25    42.25    1915   6.453   6.050  14.983    27.486
   -72.25    42.25    1916   6.658   5.976  14.963    27.597
   -72.25    42.25    1917   6.311   6.378  14.959    27.648
   -72.25    42.25    1918   6.450   6.270  14.972    27.691
   -72.25    42.25    1919   6.137   6.599  14.974    27.710
   -72.25    42.25    1920   6.185   6.542  14.980    27.708
   -72.25    42.25    1921   6.367   6.374  14.964    27.705
   -72.25    42.25    1922   6.515   6.354  14.949    27.817
   -72.25    42.25    1923   6.515   6.384  14.972    27.870
   -72.25    42.25    1924   6.229   6.575  14.996    27.800
   -72.25    42.25    1925   6.439   6.376  15.002    27.817
   -72.25    42.25    1926   6.443   6.414  15.016    27.874
   -72.25    42.25    1927   6.540   6.425  15.007    27.973
   -72.25    42.25    1928   6.736   6.263  14.966    27.965
   -72.25    42.25    1929   6.682   6.296  14.986    27.964
   -72.25    42.25    1930   6.698   6.229  14.997    27.924
   -72.25    42.25    1931   6.899   6.117  14.985    28.001
   -72.25    42.25    1932   6.705   6.022  14.984    27.711
   -72.25    42.25    1933   6.177   6.431  14.971    27.579
   -72.25    42.25    1934   6.335   6.277  14.957    27.569
   -72.25    42.25    1935   6.421   6.226  14.954    27.602
   -72.25    42.25    1936   6.545   6.140  14.951    27.636
   -72.25    42.25    1937   6.780   5.976  14.924    27.680
   -72.25    42.25    1938   6.968   5.945  14.890    27.804
   -72.25    42.25    1939   6.967   5.976  14.898    27.841
   -72.25    42.25    1940   6.537   5.988  14.923    27.448
   -72.25    42.25    1941   6.696   5.867  14.928    27.491
   -72.25    42.25    1942   6.456   6.223  14.920    27.599
   -72.25    42.25    1943   6.455   6.162  14.933    27.549
   -72.25    42.25    1944   6.585   6.012  14.922    27.518
   -72.25    42.25    1945   6.793   5.901  14.887    27.582
   -72.25    42.25    1946   7.020   5.874  14.876    27.770
   -72.25    42.25    1947   6.746   6.144  14.880    27.769
   -72.25    42.25    1948   6.799   6.065  14.890    27.754
   -72.25    42.25    1949   6.491   6.034  14.901    27.427
   -72.25    42.25    1950   6.380   6.212  14.919    27.512
   -72.25    42.25    1951   6.472   6.126  14.933    27.531
   -72.25    42.25    1952   6.653   6.002  14.905    27.559
   -72.25    42.25    1953   6.520   5.956  14.903    27.379
   -72.25    42.25    1954   6.752   5.861  14.896    27.509
   -72.25    42.25    1955   6.878   5.764  14.873    27.515
   -72.25    42.25    1956   6.583   6.099  14.883    27.565
   -72.25    42.25    1957   6.540   6.057  14.901    27.498
   -72.25    42.25    1958   6.716   5.948  14.881    27.546
   -72.25    42.25    1959   6.749   5.833  14.839    27.421
   -72.25    42.25    1960   6.791   6.008  14.814    27.613
   -72.25    42.25    1961   6.882   5.916  14.811    27.609
   -72.25    42.25    1962   6.896   5.895  14.823    27.615
   -72.25    42.25    1963   6.639   5.887  14.838    27.364
   -72.25    42.25    1964   6.113   5.990  14.858    26.961
   -72.25    42.25    1965   5.983   5.879  14.862    26.723
   -72.25    42.25    1966   6.126   5.772  14.849    26.748
   -72.25    42.25    1967   6.145   5.856  14.823    26.824
   -72.25    42.25    1968   6.258   5.830  14.820    26.908
   -72.25    42.25    1969   6.457   5.750  14.797    27.004
   -72.25    42.25    1970   6.321   5.987  14.796    27.105
   -72.25    42.25    1971   6.438   5.824  14.780    27.042
   -72.25    42.25    1972   6.592   5.746  14.779    27.117
   -72.25    42.25    1973   6.724   5.758  14.768    27.250
   -72.25    42.25    1974   6.908   5.701  14.764    27.374
   -72.25    42.25    1975   6.943   5.723  14.737    27.403
   -72.25    42.25    1976   7.072   5.624  14.731    27.427
   -72.25    42.25    1977   7.289   5.518  14.708    27.515
   -72.25    42.25    1978   7.002   5.727  14.725    27.454
   -72.25    42.25    1979   7.168   5.557  14.696    27.421
   -72.25    42.25    1980   6.870   5.867  14.705    27.442
   -72.25    42.25    1981   6.829   5.874  14.712    27.415
   -72.25    42.25    1982   7.077   5.762  14.704    27.543
   -72.25    42.25    1983   7.102   5.746  14.713    27.561
   -72.25    42.25    1984   7.218   5.641  14.711    27.570
   -72.25    42.25    1985   7.443   5.586  14.696    27.724
   -72.25    42.25    1986   7.618   5.545  14.693    27.856
   -72.25    42.25    1987   7.557   5.621  14.690    27.868
   -72.25    42.25    1988   7.201   5.470  14.676    27.348
   -72.25    42.25    1989   7.365   5.435  14.641    27.441
   -72.25    42.25    1990   7.462   5.353  14.626    27.442
   -72.25    42.25    1991   7.660   5.261  14.603    27.523
   -72.25    42.25    1992   7.850   5.262  14.612    27.724
   -72.25    42.25    1993   7.822   5.269  14.627    27.718
   -72.25    42.25    1994   7.664   5.584  14.595    27.844
   -72.25    42.25    1995   7.403   5.806  14.610    27.818
   -72.25    42.25    1996   7.105   6.131  14.594    27.830
   -72.25    42.25    1997   7.020   6.228  14.621    27.869
   -72.25    42.25    1998   6.955   6.086  14.619    27.660
   -72.25    42.25    1999   7.058   5.974  14.610    27.642
   -72.25    42.25    2000   7.192   5.882  14.592    27.666
   -72.25    42.25    2001   7.344   5.828  14.589    27.762
   -72.25    42.25    2002   7.399   5.832  14.597    27.827
   -72.25    42.25    2003   7.589   5.708  14.569    27.865
   -72.25    42.25    2004   7.805   5.609  14.559    27.973
   -72.25    42.25    2005   7.603   5.605  14.572    27.780
   -72.25    42.25    2006   7.701   5.443  14.512    27.655
   -72.25    42.25    2007   7.654   5.329  14.471    27.454
   -72.25    42.25    2008   7.856   5.149  14.379    27.384
   -72.25    42.25    2009   7.978   5.216  14.306    27.499
   -72.25    42.25    2010   7.957   5.062  14.261    27.279
   -72.25    42.25    2011   8.226   4.992  14.232    27.451
   -72.25    42.25    2012   8.228   5.170  14.171    27.569
   -72.25    42.25    2013   7.920   5.551  14.121    27.592
   -72.25    42.25    2014   8.062   5.344  14.079    27.485
   -72.25    42.25    2015   8.046   5.157  14.022    27.225
