      Lon      Lat    Year    VegC LitterC   SoilC     Total
   -72.25    42.25    1901   6.745   6.776  11.228    24.749
   -72.25    42.25    1902   7.011   6.660  11.217    24.888
   -72.25    42.25    1903   7.121   6.639  11.220    24.980
   -72.25    42.25    1904   7.244   6.584  11.227    25.055
   -72.25    42.25    1905   6.822   7.002  11.239    25.064
   -72.25    42.25    1906   6.951   6.852  11.231    25.034
   -72.25    42.25    1907   6.838   6.778  11.232    24.849
   -72.25    42.25    1908   6.415   6.815  11.237    24.467
   -72.25    42.25    1909   6.017   6.939  11.244    24.201
   -72.25    42.25    1910   6.060   6.834  11.253    24.147
   -72.25    42.25    1911   6.124   6.737  11.253    24.113
   -72.25    42.25    1912   5.720   6.653  11.254    23.627
   -72.25    42.25    1913   5.839   6.494  11.249    23.582
   -72.25    42.25    1914   5.850   6.507  11.250    23.606
   -72.25    42.25    1915   6.041   6.371  11.235    23.648
   -72.25    42.25    1916   5.805   6.543  11.217    23.565
   -72.25    42.25    1917   5.869   6.478  11.215    23.562
   -72.25    42.25    1918   5.928   6.429  11.215    23.572
   -72.25    42.25    1919   6.050   6.337  11.212    23.600
   -72.25    42.25    1920   6.043   6.350  11.212    23.605
   -72.25    42.25    1921   6.154   6.222  11.202    23.578
   -72.25    42.25    1922   6.387   6.103  11.190    23.681
   -72.25    42.25    1923   6.078   6.110  11.199    23.387
   -72.25    42.25    1924   5.769   6.114  11.216    23.098
   -72.25    42.25    1925   5.622   6.008  11.213    22.843
   -72.25    42.25    1926   5.178   6.477  11.216    22.871
   -72.25    42.25    1927   5.382   6.329  11.205    22.916
   -72.25    42.25    1928   5.601   6.177  11.172    22.950
   -72.25    42.25    1929   5.516   6.245  11.181    22.942
   -72.25    42.25    1930   5.530   6.174  11.190    22.895
   -72.25    42.25    1931   5.354   6.220  11.181    22.756
   -72.25    42.25    1932   5.107   6.467  11.177    22.751
   -72.25    42.25    1933   5.178   6.366  11.170    22.713
   -72.25    42.25    1934   5.368   6.211  11.157    22.736
   -72.25    42.25    1935   5.402   6.210  11.160    22.772
   -72.25    42.25    1936   5.508   6.120  11.163    22.791
   -72.25    42.25    1937   5.672   6.022  11.143    22.837
   -72.25    42.25    1938   5.965   5.878  11.119    22.962
   -72.25    42.25    1939   5.491   6.306  11.128    22.925
   -72.25    42.25    1940   5.491   6.236  11.154    22.880
   -72.25    42.25    1941   5.336   6.426  11.159    22.921
   -72.25    42.25    1942   5.436   6.383  11.158    22.978
   -72.25    42.25    1943   5.415   6.378  11.167    22.960
   -72.25    42.25    1944   5.437   6.325  11.167    22.930
   -72.25    42.25    1945   5.764   6.121  11.147    23.032
   -72.25    42.25    1946   6.000   6.072  11.139    23.211
   -72.25    42.25    1947   5.980   6.088  11.144    23.211
   -72.25    42.25    1948   5.394   6.289  11.151    22.833
   -72.25    42.25    1949   5.167   6.227  11.161    22.555
   -72.25    42.25    1950   4.611   6.418  11.171    22.200
   -72.25    42.25    1951   4.712   6.314  11.169    22.195
   -72.25    42.25    1952   4.677   6.164  11.150    21.991
   -72.25    42.25    1953   4.645   6.117  11.144    21.907
   -72.25    42.25    1954   4.758   6.130  11.137    22.026
   -72.25    42.25    1955   4.869   6.005  11.132    22.005
   -72.25    42.25    1956   4.383   6.482  11.138    22.004
   -72.25    42.25    1957   4.314   6.455  11.154    21.924
   -72.25    42.25    1958   4.570   6.263  11.150    21.982
   -72.25    42.25    1959   4.720   6.115  11.121    21.956
   -72.25    42.25    1960   4.822   6.039  11.109    21.970
   -72.25    42.25    1961   4.798   6.059  11.115    21.973
   -72.25    42.25    1962   4.768   6.112  11.131    22.011
