      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -72.25    42.25    1901    46.3    46.4     0.0     0.0    18.6    18.5     0.0     0.0     0.0     0.0    23.3     0.0    20.5
   -72.25    42.25    1902    44.9    45.8     0.0     0.0    18.5    18.4     0.0     0.0     0.0     0.0    24.5     0.0    20.5
   -72.25    42.25    1903    47.6    48.4     0.0     0.0    18.7    18.8     0.0     0.0     0.0     0.0    25.1     0.0    21.2
   -72.25    42.25    1904    48.1    49.0     0.0     0.0    18.6    18.6     0.0     0.0     0.0     0.0    25.4     0.0    21.1
   -72.25    42.25    1905    49.2    49.6     0.0     0.0    19.7    19.9     0.0     0.0     0.0     0.0    26.1     0.0    22.2
   -72.25    42.25    1906    48.1    48.9     0.0     0.0    18.1    18.0     0.0     0.0     0.0     0.0    22.5     0.0    20.2
   -72.25    42.25    1907    49.5    50.3     0.0     0.0    19.0    19.2     0.0     0.0     0.0     0.0    25.5     0.0    21.8
   -72.25    42.25    1908    49.4    49.3     0.0     0.0    17.9    18.0     0.0     0.0     0.0     0.0    21.5     0.0    20.3
   -72.25    42.25    1909    50.1    51.2     0.0     0.0    18.8    19.0     0.0     0.0     0.0     0.0    24.2     0.0    21.8
   -72.25    42.25    1910    49.5    49.7     0.0     0.0    19.1    19.3     0.0     0.0     0.0     0.0    25.4     0.0    22.3
   -72.25    42.25    1911    49.1    49.1     0.0     0.0    19.2    19.3     0.0     0.0     0.0     0.0    24.9     0.0    22.1
   -72.25    42.25    1912    48.0    48.1     0.0     0.0    18.1    18.1     0.0     0.0     0.0     0.0    21.7     0.0    20.5
   -72.25    42.25    1913    47.0    47.2     0.0     0.0    18.5    18.5     0.0     0.0     0.0     0.0    23.3     0.0    21.0
   -72.25    42.25    1914    48.3    48.7     0.0     0.0    18.5    18.4     0.0     0.0     0.0     0.0    22.5     0.0    21.0
   -72.25    42.25    1915    47.5    47.6     0.0     0.0    18.5    18.5     0.0     0.0     0.0     0.0    21.4     0.0    20.9
   -72.25    42.25    1916    48.4    48.9     0.0     0.0    18.3    18.3     0.0     0.0     0.0     0.0    23.9     0.0    21.2
   -72.25    42.25    1917    48.0    48.4     0.0     0.0    18.5    18.6     0.0     0.0     0.0     0.0    24.7     0.0    21.4
   -72.25    42.25    1918    46.6    46.9     0.0     0.0    18.8    19.0     0.0     0.0     0.0     0.0    23.1     0.0    21.4
   -72.25    42.25    1919    46.2    46.5     0.0     0.0    18.0    18.1     0.0     0.0     0.0     0.0    23.5     0.0    20.6
   -72.25    42.25    1920    46.2    46.7     0.0     0.0    18.3    18.4     0.0     0.0     0.0     0.0    23.2     0.0    20.7
   -72.25    42.25    1921    44.9    45.0     0.0     0.0    18.1    18.1     0.0     0.0     0.0     0.0    20.7     0.0    20.2
   -72.25    42.25    1922    44.9    45.4     0.0     0.0    17.6    17.7     0.0     0.0     0.0     0.0    23.0     0.0    19.8
   -72.25    42.25    1923    46.7    47.0     0.0     0.0    19.2    19.7     0.0     0.0     0.0     0.0    23.9     0.0    21.4
   -72.25    42.25    1924    45.8    46.3     0.0     0.0    19.0    19.1     0.0     0.0     0.0     0.0    25.2     0.0    21.0
   -72.25    42.25    1925    44.1    45.4     0.0     0.0    17.9    17.9     0.0     0.0     0.0     0.0    24.0     0.0    19.9
   -72.25    42.25    1926    47.3    48.1     0.0     0.0    19.1    19.4     0.0     0.0     0.0     0.0    29.2     0.0    21.3
   -72.25    42.25    1927    44.8    45.7     0.0     0.0    17.9    17.8     0.0     0.0     0.0     0.0    23.2     0.0    19.6
   -72.25    42.25    1928    46.0    46.9     0.0     0.0    18.0    18.0     0.0     0.0     0.0     0.0    23.9     0.0    20.0
   -72.25    42.25    1929    44.2    45.0     0.0     0.0    19.0    19.3     0.0     0.0     0.0     0.0    28.9     0.0    21.2
   -72.25    42.25    1930    45.5    46.2     0.0     0.0    17.9    18.0     0.0     0.0     0.0     0.0    24.2     0.0    19.9
   -72.25    42.25    1931    43.9    45.2     0.0     0.0    17.6    17.7     0.0     0.0     0.0     0.0    24.8     0.0    19.6
