      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -72.25    42.25    1901    46.9    52.1     0.0     0.0    18.8    19.5     0.0     0.0     0.0     0.0    22.6     0.0    21.4
   -72.25    42.25    1902    45.1    49.5     0.0     0.0    18.7    19.5     0.0     0.0     0.0     0.0    22.8     0.0    21.6
   -72.25    42.25    1903    46.7    51.1     0.0     0.0    19.0    19.7     0.0     0.0     0.0     0.0    25.0     0.0    22.2
   -72.25    42.25    1904    47.1    50.7     0.0     0.0    18.8    19.5     0.0     0.0     0.0     0.0    24.4     0.0    22.0
   -72.25    42.25    1905    46.8    51.0     0.0     0.0    20.0    21.0     0.0     0.0     0.0     0.0    26.9     0.0    23.6
   -72.25    42.25    1906    45.7    48.5     0.0     0.0    18.2    18.5     0.0     0.0     0.0     0.0    22.7     0.0    21.2
   -72.25    42.25    1907    45.6    48.5     0.0     0.0    19.1    20.0     0.0     0.0     0.0     0.0    26.6     0.0    22.9
   -72.25    42.25    1908    47.2    48.9     0.0     0.0    18.0    18.4     0.0     0.0     0.0     0.0    21.6     0.0    21.0
   -72.25    42.25    1909    45.4    47.8     0.0     0.0    18.8    19.7     0.0     0.0     0.0     0.0    25.2     0.0    22.3
   -72.25    42.25    1910    45.6    47.0     0.0     0.0    19.2    20.1     0.0     0.0     0.0     0.0    25.5     0.0    22.6
   -72.25    42.25    1911    45.2    47.3     0.0     0.0    19.3    20.0     0.0     0.0     0.0     0.0    25.2     0.0    22.2
   -72.25    42.25    1912    45.3    47.3     0.0     0.0    18.0    18.5     0.0     0.0     0.0     0.0    21.5     0.0    20.5
   -72.25    42.25    1913    43.6    47.4     0.0     0.0    18.4    19.0     0.0     0.0     0.0     0.0    24.8     0.0    21.3
   -72.25    42.25    1914    46.3    48.8     0.0     0.0    18.3    19.0     0.0     0.0     0.0     0.0    24.3     0.0    21.3
   -72.25    42.25    1915    46.2    48.9     0.0     0.0    18.4    18.9     0.0     0.0     0.0     0.0    21.4     0.0    21.0
   -72.25    42.25    1916    46.2    49.2     0.0     0.0    18.1    18.8     0.0     0.0     0.0     0.0    24.3     0.0    21.1
   -72.25    42.25    1917    46.5    49.1     0.0     0.0    18.5    19.2     0.0     0.0     0.0     0.0    23.9     0.0    21.4
   -72.25    42.25    1918    45.4    47.1     0.0     0.0    18.8    19.7     0.0     0.0     0.0     0.0    23.1     0.0    21.6
   -72.25    42.25    1919    45.7    47.4     0.0     0.0    18.0    18.6     0.0     0.0     0.0     0.0    23.5     0.0    20.7
   -72.25    42.25    1920    45.6    47.3     0.0     0.0    18.3    18.9     0.0     0.0     0.0     0.0    22.0     0.0    20.8
   -72.25    42.25    1921    44.8    46.2     0.0     0.0    18.1    18.6     0.0     0.0     0.0     0.0    23.1     0.0    20.7
   -72.25    42.25    1922    44.9    46.8     0.0     0.0    17.5    17.9     0.0     0.0     0.0     0.0    24.6     0.0    20.2
   -72.25    42.25    1923    46.5    48.1     0.0     0.0    19.2    20.6     0.0     0.0     0.0     0.0    25.0     0.0    22.0
   -72.25    42.25    1924    45.5    46.7     0.0     0.0    19.0    20.0     0.0     0.0     0.0     0.0    25.7     0.0    21.7
   -72.25    42.25    1925    43.4    45.2     0.0     0.0    17.8    18.3     0.0     0.0     0.0     0.0    22.5     0.0    20.1
   -72.25    42.25    1926    47.0    48.8     0.0     0.0    19.2    20.4     0.0     0.0     0.0     0.0    27.0     0.0    22.1
   -72.25    42.25    1927    44.7    46.4     0.0     0.0    17.9    18.4     0.0     0.0     0.0     0.0    22.7     0.0    20.3
   -72.25    42.25    1928    46.0    48.0     0.0     0.0    18.0    18.4     0.0     0.0     0.0     0.0    23.5     0.0    20.4
   -72.25    42.25    1929    44.3    46.4     0.0     0.0    19.1    20.0     0.0     0.0     0.0     0.0    26.7     0.0    21.9
   -72.25    42.25    1930    45.5    47.1     0.0     0.0    17.8    18.5     0.0     0.0     0.0     0.0    24.6     0.0    20.5
   -72.25    42.25    1931    43.8    45.9     0.0     0.0    17.6    18.0     0.0     0.0     0.0     0.0    23.8     0.0    19.8
   -72.25    42.25    1932    41.6    44.0     0.0     0.0    19.1    19.9     0.0     0.0     0.0     0.0    27.9     0.0    21.5
   -72.25    42.25    1933    42.4    44.9     0.0     0.0    18.9    19.3     0.0     0.0     0.0     0.0    24.1     0.0    21.1
   -72.25    42.25    1934    43.9    45.5     0.0     0.0    17.5    17.8     0.0     0.0     0.0     0.0    23.3     0.0    19.8
   -72.25    42.25    1935    44.7    46.8     0.0     0.0    18.1    18.5     0.0     0.0     0.0     0.0    24.7     0.0    20.6
   -72.25    42.25    1936    44.7    46.2     0.0     0.0    18.1    18.6     0.0     0.0     0.0     0.0    24.1     0.0    20.7
   -72.25    42.25    1937    43.1    45.7     0.0     0.0    17.4    17.7     0.0     0.0     0.0     0.0    24.1     0.0    19.8
   -72.25    42.25    1938    44.4    45.8     0.0     0.0    18.1    18.4     0.0     0.0     0.0     0.0    24.2     0.0    20.4
   -72.25    42.25    1939    46.2    47.8     0.0     0.0    19.7    20.6     0.0     0.0     0.0     0.0    26.3     0.0    22.2
   -72.25    42.25    1940    44.8    45.6     0.0     0.0    18.9    19.4     0.0     0.0     0.0     0.0    24.1     0.0    21.1
   -72.25    42.25    1941    45.0    45.7     0.0     0.0    18.5    18.7     0.0     0.0     0.0     0.0    24.7     0.0    20.7
   -72.25    42.25    1942    44.5    45.8     0.0     0.0    18.6    18.8     0.0     0.0     0.0     0.0    25.3     0.0    20.8
   -72.25    42.25    1943    45.9    46.4     0.0     0.0    18.6    19.0     0.0     0.0     0.0     0.0    27.4     0.0    20.9
   -72.25    42.25    1944    45.7    46.7     0.0     0.0    18.4    18.6     0.0     0.0     0.0     0.0    24.3     0.0    20.7
   -72.25    42.25    1945    44.1    45.4     0.0     0.0    17.8    17.9     0.0     0.0     0.0     0.0    24.7     0.0    20.3
   -72.25    42.25    1946    46.3    48.2     0.0     0.0    18.1    18.3     0.0     0.0     0.0     0.0    27.7     0.0    20.8
   -72.25    42.25    1947    46.9    48.0     0.0     0.0    19.1    19.7     0.0     0.0     0.0     0.0    26.8     0.0    21.6
   -72.25    42.25    1948    44.7    45.5     0.0     0.0    17.9    18.0     0.0     0.0     0.0     0.0    23.5     0.0    20.1
   -72.25    42.25    1949    45.0    47.8     0.0     0.0    18.5    18.8     0.0     0.0     0.0     0.0    27.4     0.0    21.2
   -72.25    42.25    1950    43.2    45.7     0.0     0.0    17.9    18.3     0.0     0.0     0.0     0.0    23.4     0.0    20.3
   -72.25    42.25    1951    45.6    48.2     0.0     0.0    18.6    19.1     0.0     0.0     0.0     0.0    24.9     0.0    21.1
   -72.25    42.25    1952    44.9    47.0     0.0     0.0    17.9    18.1     0.0     0.0     0.0     0.0    23.0     0.0    20.3
   -72.25    42.25    1953    44.1    47.3     0.0     0.0    18.0    18.5     0.0     0.0     0.0     0.0    27.9     0.0    20.7
   -72.25    42.25    1954    44.5    47.5     0.0     0.0    17.9    18.2     0.0     0.0     0.0     0.0    21.7     0.0    20.0
   -72.25    42.25    1955    45.6    47.2     0.0     0.0    18.5    18.9     0.0     0.0     0.0     0.0    27.4     0.0    20.9
   -72.25    42.25    1956    45.5    47.6     0.0     0.0    19.1    19.6     0.0     0.0     0.0     0.0    22.0     0.0    21.1
