      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -72.25    42.25    1901    44.9    45.9     0.0     0.0    18.9    19.4     0.0     0.0     0.0     0.0    24.7     0.0    22.6
   -72.25    42.25    1902    43.2    44.2     0.0     0.0    18.7    19.2     0.0     0.0     0.0     0.0    24.9     0.0    22.5
   -72.25    42.25    1903    44.2    45.5     0.0     0.0    19.1    19.7     0.0     0.0     0.0     0.0    27.7     0.0    23.1
   -72.25    42.25    1904    44.8    45.9     0.0     0.0    19.1    19.8     0.0     0.0     0.0     0.0    30.0     0.0    23.0
   -72.25    42.25    1905    44.2    45.4     0.0     0.0    20.2    21.2     0.0     0.0     0.0     0.0    31.9     0.0    24.2
   -72.25    42.25    1906    42.9    44.2     0.0     0.0    18.3    18.6     0.0     0.0     0.0     0.0    26.2     0.0    21.7
   -72.25    42.25    1907    43.1    44.0     0.0     0.0    19.2    20.3     0.0     0.0     0.0     0.0    29.1     0.0    23.2
   -72.25    42.25    1908    44.4    45.6     0.0     0.0    18.1    18.6     0.0     0.0     0.0     0.0    25.2     0.0    21.9
   -72.25    42.25    1909    43.4    44.9     0.0     0.0    18.9    20.0     0.0     0.0     0.0     0.0    25.8     0.0    22.9
   -72.25    42.25    1910    43.4    44.6     0.0     0.0    19.3    20.1     0.0     0.0     0.0     0.0    29.9     0.0    23.3
   -72.25    42.25    1911    43.6    45.5     0.0     0.0    19.5    20.1     0.0     0.0     0.0     0.0    26.4     0.0    23.2
   -72.25    42.25    1912    44.2    45.2     0.0     0.0    18.2    18.6     0.0     0.0     0.0     0.0    24.6     0.0    21.7
   -72.25    42.25    1913    41.9    43.7     0.0     0.0    18.6    19.0     0.0     0.0     0.0     0.0    26.1     0.0    22.1
   -72.25    42.25    1914    45.2    46.5     0.0     0.0    18.6    19.2     0.0     0.0     0.0     0.0    25.8     0.0    22.3
   -72.25    42.25    1915    44.8    45.6     0.0     0.0    18.5    18.7     0.0     0.0     0.0     0.0    24.3     0.0    21.9
