      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -72.25    42.25    1901  0.0391  0.1120  0.0000  0.0000  1.4837  1.4913  0.0000  0.0000  0.0000  0.0000  0.6386  0.0000  3.7647
   -72.25    42.25    1902  0.0358  0.0986  0.0000  0.0000  1.4954  1.4926  0.0000  0.0000  0.0000  0.0000  0.7914  0.0000  3.9136
   -72.25    42.25    1903  0.0369  0.1010  0.0000  0.0000  1.3987  1.3311  0.0000  0.0000  0.0000  0.0000  0.9322  0.0000  3.7999
   -72.25    42.25    1904  0.0379  0.1009  0.0000  0.0000  1.4128  1.3650  0.0000  0.0000  0.0000  0.0000  0.9270  0.0000  3.8436
   -72.25    42.25    1905  0.0362  0.0964  0.0000  0.0000  1.3833  1.3316  0.0000  0.0000  0.0000  0.0000  0.8298  0.0000  3.6773
   -72.25    42.25    1906  0.0370  0.1013  0.0000  0.0000  1.3805  1.2999  0.0000  0.0000  0.0000  0.0000  0.9640  0.0000  3.7828
   -72.25    42.25    1907  0.0382  0.1069  0.0000  0.0000  1.2650  1.2253  0.0000  0.0000  0.0000  0.0000  0.8593  0.0000  3.4946
   -72.25    42.25    1908  0.0410  0.1187  0.0000  0.0000  1.2610  1.2347  0.0000  0.0000  0.0000  0.0000  0.9867  0.0000  3.6422
   -72.25    42.25    1909  0.0450  0.1303  0.0000  0.0000  1.2630  1.2424  0.0000  0.0000  0.0000  0.0000  1.0900  0.0000  3.7707
   -72.25    42.25    1910  0.0457  0.1327  0.0000  0.0000  1.2618  1.2355  0.0000  0.0000  0.0000  0.0000  1.0069  0.0000  3.6826
   -72.25    42.25    1911  0.0454  0.1307  0.0000  0.0000  1.2800  1.2353  0.0000  0.0000  0.0000  0.0000  0.8251  0.0000  3.5166
   -72.25    42.25    1912  0.0505  0.1416  0.0000  0.0000  1.3393  1.2871  0.0000  0.0000  0.0000  0.0000  0.8937  0.0000  3.7123
   -72.25    42.25    1913  0.0492  0.1289  0.0000  0.0000  1.3328  1.2460  0.0000  0.0000  0.0000  0.0000  0.7752  0.0000  3.5322
   -72.25    42.25    1914  0.0515  0.1336  0.0000  0.0000  1.2960  1.1626  0.0000  0.0000  0.0000  0.0000  0.6612  0.0000  3.3048
   -72.25    42.25    1915  0.0582  0.1506  0.0000  0.0000  1.4332  1.3006  0.0000  0.0000  0.0000  0.0000  0.9051  0.0000  3.8476
   -72.25    42.25    1916  0.0643  0.1657  0.0000  0.0000  1.5542  1.4132  0.0000  0.0000  0.0000  0.0000  0.9838  0.0000  4.1813
   -72.25    42.25    1917  0.0661  0.1682  0.0000  0.0000  1.5884  1.4398  0.0000  0.0000  0.0000  0.0000  0.7785  0.0000  4.0410
   -72.25    42.25    1918  0.0677  0.1706  0.0000  0.0000  1.6359  1.4787  0.0000  0.0000  0.0000  0.0000  0.7056  0.0000  4.0585
   -72.25    42.25    1919  0.0698  0.1751  0.0000  0.0000  1.6975  1.5536  0.0000  0.0000  0.0000  0.0000  0.6128  0.0000  4.1088
   -72.25    42.25    1920  0.0701  0.1743  0.0000  0.0000  1.7430  1.5749  0.0000  0.0000  0.0000  0.0000  0.4627  0.0000  4.0250
   -72.25    42.25    1921  0.0699  0.1723  0.0000  0.0000  1.7103  1.6533  0.0000  0.0000  0.0000  0.0000  0.4346  0.0000  4.0404
   -72.25    42.25    1922  0.0728  0.1724  0.0000  0.0000  1.8223  1.7765  0.0000  0.0000  0.0000  0.0000  0.3003  0.0000  4.1443
   -72.25    42.25    1923  0.0656  0.1486  0.0000  0.0000  1.7259  1.6888  0.0000  0.0000  0.0000  0.0000  0.2736  0.0000  3.9025
   -72.25    42.25    1924  0.0592  0.1353  0.0000  0.0000  1.6241  1.5636  0.0000  0.0000  0.0000  0.0000  0.1910  0.0000  3.5733
   -72.25    42.25    1925  0.0635  0.1446  0.0000  0.0000  1.7216  1.7119  0.0000  0.0000  0.0000  0.0000  0.3362  0.0000  3.9779
   -72.25    42.25    1926  0.0579  0.1300  0.0000  0.0000  1.6560  1.5743  0.0000  0.0000  0.0000  0.0000  0.1907  0.0000  3.6088
   -72.25    42.25    1927  0.0608  0.1335  0.0000  0.0000  1.7828  1.7033  0.0000  0.0000  0.0000  0.0000  0.2534  0.0000  3.9337
   -72.25    42.25    1928  0.0624  0.1372  0.0000  0.0000  1.8082  1.7269  0.0000  0.0000  0.0000  0.0000  0.3803  0.0000  4.1151
   -72.25    42.25    1929  0.0584  0.1259  0.0000  0.0000  1.6773  1.5869  0.0000  0.0000  0.0000  0.0000  0.2669  0.0000  3.7154
   -72.25    42.25    1930  0.0541  0.1188  0.0000  0.0000  1.5935  1.5288  0.0000  0.0000  0.0000  0.0000  0.3792  0.0000  3.6745
   -72.25    42.25    1931  0.0553  0.1209  0.0000  0.0000  1.6908  1.6206  0.0000  0.0000  0.0000  0.0000  0.4018  0.0000  3.8894
   -72.25    42.25    1932  0.0527  0.1117  0.0000  0.0000  1.6685  1.5334  0.0000  0.0000  0.0000  0.0000  0.3379  0.0000  3.7042
   -72.25    42.25    1933  0.0502  0.1064  0.0000  0.0000  1.6763  1.5270  0.0000  0.0000  0.0000  0.0000  0.3289  0.0000  3.6888
   -72.25    42.25    1934  0.0499  0.1089  0.0000  0.0000  1.6767  1.4906  0.0000  0.0000  0.0000  0.0000  0.4314  0.0000  3.7575
   -72.25    42.25    1935  0.0505  0.1090  0.0000  0.0000  1.6737  1.4878  0.0000  0.0000  0.0000  0.0000  0.3226  0.0000  3.6436
   -72.25    42.25    1936  0.0491  0.1063  0.0000  0.0000  1.7017  1.5185  0.0000  0.0000  0.0000  0.0000  0.3438  0.0000  3.7195
   -72.25    42.25    1937  0.0506  0.1094  0.0000  0.0000  1.7957  1.6265  0.0000  0.0000  0.0000  0.0000  0.3568  0.0000  3.9389
   -72.25    42.25    1938  0.0535  0.1126  0.0000  0.0000  1.9218  1.7639  0.0000  0.0000  0.0000  0.0000  0.3820  0.0000  4.2338
   -72.25    42.25    1939  0.0489  0.1025  0.0000  0.0000  1.8873  1.7003  0.0000  0.0000  0.0000  0.0000  0.2464  0.0000  3.9853
   -72.25    42.25    1940  0.0457  0.0952  0.0000  0.0000  1.7775  1.5323  0.0000  0.0000  0.0000  0.0000  0.2358  0.0000  3.6865
   -72.25    42.25    1941  0.0439  0.0916  0.0000  0.0000  1.7074  1.5678  0.0000  0.0000  0.0000  0.0000  0.2448  0.0000  3.6555
   -72.25    42.25    1942  0.0437  0.0884  0.0000  0.0000  1.7957  1.6409  0.0000  0.0000  0.0000  0.0000  0.3346  0.0000  3.9033
   -72.25    42.25    1943  0.0403  0.0789  0.0000  0.0000  1.6594  1.5760  0.0000  0.0000  0.0000  0.0000  0.3157  0.0000  3.6702
   -72.25    42.25    1944  0.0382  0.0724  0.0000  0.0000  1.5845  1.4327  0.0000  0.0000  0.0000  0.0000  0.3363  0.0000  3.4642
   -72.25    42.25    1945  0.0407  0.0729  0.0000  0.0000  1.7401  1.5799  0.0000  0.0000  0.0000  0.0000  0.4626  0.0000  3.8962
   -72.25    42.25    1946  0.0435  0.0770  0.0000  0.0000  1.8498  1.7154  0.0000  0.0000  0.0000  0.0000  0.6131  0.0000  4.2987
   -72.25    42.25    1947  0.0396  0.0683  0.0000  0.0000  1.7648  1.5897  0.0000  0.0000  0.0000  0.0000  0.4161  0.0000  3.8784
   -72.25    42.25    1948  0.0363  0.0583  0.0000  0.0000  1.6905  1.4978  0.0000  0.0000  0.0000  0.0000  0.4569  0.0000  3.7399
   -72.25    42.25    1949  0.0318  0.0520  0.0000  0.0000  1.6258  1.4071  0.0000  0.0000  0.0000  0.0000  0.4415  0.0000  3.5582
