      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -72.25    42.25    1901  0.0827  0.1129  0.0000  0.0000  1.9856  0.8998  0.0000  0.0000  0.0000  0.0000  0.9575  0.0000  4.0385
   -72.25    42.25    1902  0.0912  0.1294  0.0000  0.0000  1.9374  0.9676  0.0000  0.0000  0.0000  0.0000  1.0535  0.0000  4.1791
   -72.25    42.25    1903  0.0929  0.1360  0.0000  0.0000  1.9501  0.9804  0.0000  0.0000  0.0000  0.0000  0.8744  0.0000  4.0338
   -72.25    42.25    1904  0.0961  0.1424  0.0000  0.0000  1.8689  0.9737  0.0000  0.0000  0.0000  0.0000  0.8229  0.0000  3.9040
   -72.25    42.25    1905  0.0966  0.1390  0.0000  0.0000  1.7834  0.8854  0.0000  0.0000  0.0000  0.0000  0.6412  0.0000  3.5456
   -72.25    42.25    1906  0.1011  0.1551  0.0000  0.0000  1.8791  0.9772  0.0000  0.0000  0.0000  0.0000  0.7749  0.0000  3.8873
   -72.25    42.25    1907  0.1100  0.1716  0.0000  0.0000  1.8362  0.9697  0.0000  0.0000  0.0000  0.0000  0.6784  0.0000  3.7659
   -72.25    42.25    1908  0.1097  0.1756  0.0000  0.0000  1.8638  1.0052  0.0000  0.0000  0.0000  0.0000  0.6791  0.0000  3.8334
   -72.25    42.25    1909  0.1106  0.1779  0.0000  0.0000  1.8891  1.0363  0.0000  0.0000  0.0000  0.0000  0.6283  0.0000  3.8423
   -72.25    42.25    1910  0.1069  0.1674  0.0000  0.0000  1.8949  1.0361  0.0000  0.0000  0.0000  0.0000  0.5728  0.0000  3.7781
   -72.25    42.25    1911  0.0924  0.1298  0.0000  0.0000  1.8149  0.9028  0.0000  0.0000  0.0000  0.0000  0.4622  0.0000  3.4022
   -72.25    42.25    1912  0.0874  0.1178  0.0000  0.0000  1.8228  0.8742  0.0000  0.0000  0.0000  0.0000  0.4813  0.0000  3.3836
   -72.25    42.25    1913  0.0873  0.1312  0.0000  0.0000  1.8313  0.9067  0.0000  0.0000  0.0000  0.0000  0.5339  0.0000  3.4903
   -72.25    42.25    1914  0.0893  0.1363  0.0000  0.0000  1.8510  0.9168  0.0000  0.0000  0.0000  0.0000  0.5129  0.0000  3.5063
   -72.25    42.25    1915  0.0918  0.1434  0.0000  0.0000  1.9467  0.9594  0.0000  0.0000  0.0000  0.0000  0.7460  0.0000  3.8873
   -72.25    42.25    1916  0.0963  0.1538  0.0000  0.0000  2.0772  1.0682  0.0000  0.0000  0.0000  0.0000  0.6880  0.0000  4.0834
   -72.25    42.25    1917  0.0962  0.1519  0.0000  0.0000  2.0188  1.0869  0.0000  0.0000  0.0000  0.0000  0.6230  0.0000  3.9768
   -72.25    42.25    1918  0.0973  0.1519  0.0000  0.0000  2.0570  1.1046  0.0000  0.0000  0.0000  0.0000  0.5576  0.0000  3.9684
   -72.25    42.25    1919  0.0859  0.1464  0.0000  0.0000  2.0438  1.0614  0.0000  0.0000  0.0000  0.0000  0.5089  0.0000  3.8462
   -72.25    42.25    1920  0.0876  0.1460  0.0000  0.0000  2.0546  1.0736  0.0000  0.0000  0.0000  0.0000  0.5329  0.0000  3.8947
   -72.25    42.25    1921  0.0881  0.1486  0.0000  0.0000  2.1099  1.1371  0.0000  0.0000  0.0000  0.0000  0.6796  0.0000  4.1633
   -72.25    42.25    1922  0.0916  0.1527  0.0000  0.0000  2.2202  1.2400  0.0000  0.0000  0.0000  0.0000  0.5923  0.0000  4.2968
   -72.25    42.25    1923  0.0877  0.1417  0.0000  0.0000  2.1757  1.1945  0.0000  0.0000  0.0000  0.0000  0.4934  0.0000  4.0930
   -72.25    42.25    1924  0.0802  0.1276  0.0000  0.0000  1.9389  1.0248  0.0000  0.0000  0.0000  0.0000  0.3579  0.0000  3.5295
   -72.25    42.25    1925  0.0849  0.1346  0.0000  0.0000  2.0493  1.1121  0.0000  0.0000  0.0000  0.0000  0.4225  0.0000  3.8034
   -72.25    42.25    1926  0.0827  0.1306  0.0000  0.0000  2.0303  1.0841  0.0000  0.0000  0.0000  0.0000  0.4111  0.0000  3.7389
   -72.25    42.25    1927  0.0867  0.1356  0.0000  0.0000  2.1202  1.0868  0.0000  0.0000  0.0000  0.0000  0.4853  0.0000  3.9146
   -72.25    42.25    1928  0.0889  0.1392  0.0000  0.0000  2.2146  1.1751  0.0000  0.0000  0.0000  0.0000  0.5087  0.0000  4.1265
   -72.25    42.25    1929  0.0878  0.1373  0.0000  0.0000  2.0606  1.0872  0.0000  0.0000  0.0000  0.0000  0.4326  0.0000  3.8055
   -72.25    42.25    1930  0.0838  0.1342  0.0000  0.0000  2.0180  1.0718  0.0000  0.0000  0.0000  0.0000  0.3997  0.0000  3.7075
   -72.25    42.25    1931  0.0821  0.1264  0.0000  0.0000  2.1292  1.1483  0.0000  0.0000  0.0000  0.0000  0.3391  0.0000  3.8250
   -72.25    42.25    1932  0.0825  0.1250  0.0000  0.0000  2.1350  1.0924  0.0000  0.0000  0.0000  0.0000  0.2404  0.0000  3.6753
   -72.25    42.25    1933  0.0791  0.1191  0.0000  0.0000  1.9771  1.0084  0.0000  0.0000  0.0000  0.0000  0.3256  0.0000  3.5093
   -72.25    42.25    1934  0.0814  0.1253  0.0000  0.0000  2.0283  1.0500  0.0000  0.0000  0.0000  0.0000  0.3171  0.0000  3.6021
   -72.25    42.25    1935  0.0842  0.1304  0.0000  0.0000  2.0074  1.0623  0.0000  0.0000  0.0000  0.0000  0.4521  0.0000  3.7364
   -72.25    42.25    1936  0.0856  0.1334  0.0000  0.0000  2.0311  1.0833  0.0000  0.0000  0.0000  0.0000  0.4758  0.0000  3.8092
   -72.25    42.25    1937  0.0870  0.1346  0.0000  0.0000  2.1455  1.1777  0.0000  0.0000  0.0000  0.0000  0.4844  0.0000  4.0292
   -72.25    42.25    1938  0.0892  0.1405  0.0000  0.0000  2.2811  1.2802  0.0000  0.0000  0.0000  0.0000  0.4719  0.0000  4.2629
   -72.25    42.25    1939  0.0847  0.1283  0.0000  0.0000  2.2226  1.2271  0.0000  0.0000  0.0000  0.0000  0.3785  0.0000  4.0411
   -72.25    42.25    1940  0.0791  0.1196  0.0000  0.0000  2.0593  1.1622  0.0000  0.0000  0.0000  0.0000  0.3510  0.0000  3.7713
   -72.25    42.25    1941  0.0786  0.1149  0.0000  0.0000  2.1042  1.1797  0.0000  0.0000  0.0000  0.0000  0.4333  0.0000  3.9106
   -72.25    42.25    1942  0.0787  0.1056  0.0000  0.0000  2.0090  1.1131  0.0000  0.0000  0.0000  0.0000  0.5005  0.0000  3.8069
   -72.25    42.25    1943  0.0752  0.0983  0.0000  0.0000  1.9458  1.0716  0.0000  0.0000  0.0000  0.0000  0.3667  0.0000  3.5577
   -72.25    42.25    1944  0.0745  0.1023  0.0000  0.0000  1.9569  1.0946  0.0000  0.0000  0.0000  0.0000  0.6155  0.0000  3.8438
   -72.25    42.25    1945  0.0807  0.1106  0.0000  0.0000  2.0766  1.1302  0.0000  0.0000  0.0000  0.0000  0.7970  0.0000  4.1951
   -72.25    42.25    1946  0.0833  0.1122  0.0000  0.0000  2.2038  1.2206  0.0000  0.0000  0.0000  0.0000  0.7320  0.0000  4.3518
   -72.25    42.25    1947  0.0737  0.1025  0.0000  0.0000  2.0875  1.1181  0.0000  0.0000  0.0000  0.0000  0.6224  0.0000  4.0041
   -72.25    42.25    1948  0.0741  0.1044  0.0000  0.0000  2.0516  1.1063  0.0000  0.0000  0.0000  0.0000  0.6598  0.0000  3.9963
   -72.25    42.25    1949  0.0713  0.1036  0.0000  0.0000  1.8669  1.0327  0.0000  0.0000  0.0000  0.0000  0.5808  0.0000  3.6553
   -72.25    42.25    1950  0.0736  0.1092  0.0000  0.0000  1.8448  0.9804  0.0000  0.0000  0.0000  0.0000  0.6173  0.0000  3.6255
   -72.25    42.25    1951  0.0726  0.1071  0.0000  0.0000  1.8922  0.9879  0.0000  0.0000  0.0000  0.0000  0.5757  0.0000  3.6356
   -72.25    42.25    1952  0.0767  0.1186  0.0000  0.0000  2.0029  1.0747  0.0000  0.0000  0.0000  0.0000  0.7591  0.0000  4.0320
   -72.25    42.25    1953  0.0695  0.1088  0.0000  0.0000  1.8574  1.0186  0.0000  0.0000  0.0000  0.0000  0.4981  0.0000  3.5524
