      Lon      Lat    Year     BNE    BINE     BNS    TeNE    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
   -72.25    42.25    1901  0.1740  0.2349  0.0000  0.0000  2.2487  0.9218  0.0000  0.0000  0.0000  0.0000  0.3903  0.0000  3.9698
   -72.25    42.25    1902  0.1920  0.2605  0.0000  0.0000  2.4001  1.0089  0.0000  0.0000  0.0000  0.0000  0.4115  0.0000  4.2731
   -72.25    42.25    1903  0.1968  0.2613  0.0000  0.0000  2.4051  1.0235  0.0000  0.0000  0.0000  0.0000  0.3429  0.0000  4.2297
   -72.25    42.25    1904  0.1949  0.2552  0.0000  0.0000  2.4394  1.0463  0.0000  0.0000  0.0000  0.0000  0.2605  0.0000  4.1963
   -72.25    42.25    1905  0.1844  0.2406  0.0000  0.0000  2.3099  0.9662  0.0000  0.0000  0.0000  0.0000  0.1922  0.0000  3.8933
   -72.25    42.25    1906  0.1813  0.2326  0.0000  0.0000  2.3964  1.0309  0.0000  0.0000  0.0000  0.0000  0.2122  0.0000  4.0533
   -72.25    42.25    1907  0.1856  0.2331  0.0000  0.0000  2.2312  0.9112  0.0000  0.0000  0.0000  0.0000  0.2578  0.0000  3.8187
   -72.25    42.25    1908  0.1743  0.2207  0.0000  0.0000  2.1040  0.8977  0.0000  0.0000  0.0000  0.0000  0.2883  0.0000  3.6850
   -72.25    42.25    1909  0.1617  0.2009  0.0000  0.0000  1.9531  0.8231  0.0000  0.0000  0.0000  0.0000  0.3949  0.0000  3.5336
   -72.25    42.25    1910  0.1534  0.1863  0.0000  0.0000  1.9222  0.8003  0.0000  0.0000  0.0000  0.0000  0.3434  0.0000  3.4057
   -72.25    42.25    1911  0.1501  0.1831  0.0000  0.0000  1.9384  0.8090  0.0000  0.0000  0.0000  0.0000  0.4413  0.0000  3.5219
   -72.25    42.25    1912  0.1200  0.1848  0.0000  0.0000  1.8754  0.8089  0.0000  0.0000  0.0000  0.0000  0.5039  0.0000  3.4930
   -72.25    42.25    1913  0.1240  0.1912  0.0000  0.0000  1.9092  0.8207  0.0000  0.0000  0.0000  0.0000  0.4652  0.0000  3.5102
   -72.25    42.25    1914  0.1225  0.1879  0.0000  0.0000  1.9008  0.7922  0.0000  0.0000  0.0000  0.0000  0.4390  0.0000  3.4424
   -72.25    42.25    1915  0.1252  0.1989  0.0000  0.0000  2.0714  0.8723  0.0000  0.0000  0.0000  0.0000  0.5118  0.0000  3.7796
