Year	Month	Day	mean	stddev
2012	1	1	236.9148300992596	73.79967726302344
2012	1	2	260.8741529988121	83.42535013464177
2012	1	3	224.8651782714825	66.47344470268652
2012	1	4	193.93758212355436	54.20730553963799
2012	1	5	190.8745401746164	57.35067350751684
2012	1	6	194.06192675957882	61.85992467530105
2012	1	7	200.61049562553148	66.60675722577048
2012	1	8	207.08673437655025	69.35398046297288
2012	1	9	204.26245758180087	63.38656190549186
2012	1	10	205.96802779131357	66.48411035440378
2012	1	11	207.35397395367107	66.91510529428719
2012	1	12	211.4735920696718	70.34670026469556
2012	1	13	214.79684626211164	70.92150465940807
2012	1	14	215.53726190093272	67.94713370958162
2012	1	15	203.0701072326729	58.43511429514139
2012	1	16	188.03575980057298	52.28722158863498
2012	1	17	195.62401245772122	63.37355458161775
2012	1	18	202.61297148606656	68.88280691088491
2012	1	19	196.86859913286017	60.54668833452364
2012	1	20	196.6409441030409	62.96739354902709
2012	1	21	194.5730482634079	61.527707586043526
2012	1	22	193.50908825774758	60.935438056741276
2012	1	23	197.11238735228497	65.25108748055477
2012	1	24	200.08617943024666	69.7065160286717
2012	1	25	203.74735076805374	70.84539757411815
2012	1	26	206.32128278812812	71.04489139336906
2012	1	27	205.04914519263994	70.11834169767779
2012	1	28	207.4297096540419	70.54464554489465
2012	1	29	207.56203796143595	68.78819838491476
2012	1	30	204.54296537405804	65.58867331721873
2012	1	31	202.81472347687122	66.36827864711779
2012	2	1	207.52287418951795	70.5129939263015
2012	2	2	210.73260704724436	70.54923986781262
2012	2	3	207.62871530020325	67.93438936152546
2012	2	4	206.09336079228402	67.85166457458529
2012	2	5	198.70737787639322	61.70163436749052
2012	2	6	194.19350131251343	61.75825611643174
2012	2	7	199.00404468434803	66.03857406121045
2012	2	8	195.46591854281064	61.16745423871371
2012	2	9	194.54197223652426	61.531850487052054
2012	2	10	194.27551654875464	62.090868140967714
2012	2	11	199.2681953446022	66.91158030964142
2012	2	12	188.73276001731674	54.624423997407334
2012	2	13	182.03938915684995	54.33966325403771
2012	2	14	185.73428698691325	59.415570110031204
2012	2	15	191.96063785003867	65.39035448062286
2012	2	16	194.91624078841582	65.54330919540396
2012	2	17	199.52987312553762	67.89995593808156
2012	2	18	202.10290896316897	66.96437107861699
2012	2	19	205.07696390588723	67.08984987572056
2012	2	20	201.8531571213536	64.28379277260751
2012	2	21	198.4226721000169	63.478994461319424
2012	2	22	207.0742438634977	67.71274417746396
2012	2	23	219.6421772750779	66.15887029471702
2012	2	24	213.1167451738864	66.49916533827538
2012	2	25	212.44155483661135	66.94159916475374
2012	2	26	205.7257495884926	64.6922696664094
2012	2	27	202.5332765655459	65.33758291116882
2012	2	28	212.67826595528112	67.98235894786994
2012	2	29	211.96886974357412	67.5019412829395
2012	3	1	214.22506863570578	68.47942337580679
2012	3	2	215.78688243724014	68.54291597461109
2012	3	3	217.25695324368115	69.2399532224813
2012	3	4	217.8446708904409	69.62077973561145
2012	3	5	216.76096263678284	68.86460606198608
2012	3	6	211.15904206886907	66.31323586815998
2012	3	7	110.48209366280742	35.707414288563164
2012	4	25	185.28458022391987	56.64474432646828
2012	4	26	385.37124453870945	117.88042185551811
2012	4	27	386.1752746727133	118.3969393982766
2012	4	28	363.0595079440867	111.73015566107824
2012	4	29	366.7015738781492	112.77417781099521
2012	4	30	377.84863942198984	115.33222316346078
2012	5	1	371.7474547780731	115.00144833379429
2012	5	2	374.0280794730505	115.14476602675465
2012	5	3	382.12232599992416	117.20084793949621
2012	5	4	401.8178102140684	121.03683063516303
2012	5	5	450.67190201198173	135.60651757368677
2012	5	6	461.4177702326207	138.27088161360183
2012	5	7	469.92470722882933	138.28642850752445
2012	5	8	446.59191713662284	134.73773419260945
2012	5	9	476.1340460620718	143.75388262629517
2012	5	10	469.88083133260795	139.69525757744864
2012	5	11	438.76566626377587	130.6243927948821
2012	5	12	470.5242202604398	136.1425316083172
2012	5	13	530.4524188262637	151.28247475640075
2012	5	14	534.5681382797617	156.3404492833254
2012	5	15	539.5541180569119	159.81543072133877
2012	5	16	555.2762126417887	160.03505681272574
2012	5	17	528.0628711776155	150.94620894111043
2012	5	18	517.8134055448016	146.2244991356777
2012	5	19	541.3490057525241	151.60725247112538
2012	5	20	580.4771752794792	163.5167050770674
2012	5	21	563.5236447329924	165.30267622279695
2012	5	22	569.3224919827574	167.17494572724615
2012	5	23	586.8757785400085	170.59543703404336
2012	5	24	604.5587679010089	182.75534995614768
2012	5	25	595.535837203967	180.92823498288647
2012	5	26	441.02482969141874	137.1118098835427
2012	5	27	136.224165013328	39.558669455890254
2012	5	28	193.64590534047014	56.941987766863754
2012	5	29	54.68976895939337	16.215053171897736
2012	6	2	45.091398838427565	13.43156246944322
2012	6	3	551.7731132323937	160.41292653663706
2012	6	4	500.46768597411926	148.12364551161423
2012	6	5	485.2175579756493	144.27266290541527
2012	6	6	502.73657009925284	147.7005699968457
2012	6	7	523.9431649630465	153.12466192390838
2012	6	8	550.5446887854052	158.36538405900782
2012	6	9	574.0727382459921	169.8088518972882
2012	6	10	603.0638208554758	176.69584383493637
2012	6	11	594.8117288345068	176.43107961927058
2012	6	12	596.4373605419562	177.50601359332066
2012	6	13	608.7346137410008	183.2658711134802
2012	6	14	606.0458767954585	180.98966811996942
2012	6	15	589.2473951024549	158.8907766233351
2012	6	16	591.6138360443666	158.95527008450742
2012	6	17	572.9792627037316	155.46569236914743
2012	6	18	572.6936942946091	170.06857890603013
2012	6	19	571.8727427689373	158.39862287800037
2012	6	20	665.9581072075816	195.93446464972197
2012	6	21	741.5126349495418	219.31367902242383
2012	6	22	759.7073270106036	227.29567114012158
2012	6	23	725.2956231707965	207.68763473964898
2012	6	24	674.4376026528806	184.71841303520287
2012	6	25	663.7081838716482	180.9317153382012
2012	6	26	606.6627683382463	180.51452788084572
2012	6	27	615.6906917384564	182.15318523737992
2012	6	28	647.3298419356267	189.38507147826562
2012	6	29	699.2821743430331	207.2234102749503
2012	6	30	726.2844418709925	219.60531910453696
2012	7	1	748.9370757637582	226.47198139321975
2012	7	2	727.515472853235	207.46895137473268
2012	7	3	729.3806622100993	218.34761190237694
2012	7	4	741.8128755094147	210.61797149464994
2012	7	5	758.906699962962	226.11981630438402
2012	7	6	737.5865208620146	207.8950892997795
2012	7	7	760.887413162712	230.53402254630626
2012	7	8	754.8857358407679	216.6998478327385
2012	7	9	722.2717242586896	203.47572442908805
2012	7	10	709.967085945751	199.91765864378982
2012	7	11	747.328416133141	224.58735870841053
2012	7	12	778.3590564324868	234.51665161583662
2012	7	13	779.6362837423019	214.53916997739424
2012	7	14	814.4475894595404	248.3458522862548
2012	7	15	807.6075551164885	234.27039143125063
2012	7	16	810.5064734692234	233.0440498282212
2012	7	17	820.1139444618766	226.08692004974935
2012	7	18	861.8959330759214	245.79829862502942
2012	7	19	779.9746514928532	208.4678631129084
2012	7	20	707.2697489056986	186.8619794606331
2012	7	21	729.6167321012508	223.96709771299263
2012	7	22	750.8173300353094	214.42696516074145
2012	7	23	763.964673925711	213.25552395871887
2012	7	24	765.2320424621039	208.29579465234377
2012	7	25	705.2074937404732	184.7221710745253
2012	7	26	724.0619465532045	195.721885152754
2012	7	27	770.3021480963528	217.36124760522182
